Test name,Test ID,OptiPlex 7010
TPM Support (Ubuntu),TPM001.002,PASS
Verify TPM version (Ubuntu),TPM002.002,PASS
Check TPM Physical Presence Interface (Ubuntu),TPM003.002,PASS
Detect TPM after platform reboot (Ubuntu),TPD003.001,PASS
Detect TPM after platform suspend (Ubuntu),TPD004.001,PASS
Measured Boot support (Ubuntu),MBO001.001,PASS
Check Secure Boot default state (firmware),SBO001.001,PASS
UEFI Secure Boot (Ubuntu),SBO002.001,PASS
Attempt to boot file with the correct key from Shell (firmware),SBO003.001,PASS
Attempt to boot file without the key from Shell (firmware),SBO004.001,PASS
Attempt to boot file with the wrong-signed key from Shell (firmware),SBO005.001,PASS
Reset Secure Boot Keys option availability (firmware),SBO006.001,PASS
Attempt to boot the file after restoring keys to default (firmware),SBO007.001,PASS
Attempt to enroll the key in the incorrect format (firmware),SBO008.001,PASS
Check Password Setup option availability and default state,PSW001.001,PASS
Password setting mechanism correctness checking,PSW002.001,PASS
Attempt to log in with a correct password,PSW003.001,PASS
Attempt to log in with an incorrect password,PSW004.001,PASS
Attempt to log in with an incorrect password 3 times,PSW005.001,PASS
Attempt to turn off setup password functionality,PSW006.001,PASS
Attempt to set non-compilant password,PSW007.001,PASS
Attempt to set old password,PSW008.001,PASS
Enable USB stack (firmware),USS001.001,PASS
Disable USB stack (firmware),USS002.001,PASS
Enable USB Mass Storage (firmware),USS003.001,PASS
Disable USB Mass Storage (firmware),USS004.001,PASS
Enable Network Boot (firmware),NBA001.001,PASS
Disable Network Boot (firmware),NBA002.001,PASS
Memory HCL - boot into OS (Ubuntu),HCL001.001,PASS
Custom Boot Order,CBO001.002,PASS
Custom boot menu key,CBK001.001,PASS
Custom BIOS Menu Key,CBK002.001,PASS
USB devices detected in FW,USB001.001,PASS
USB devices detected by OS (Ubuntu),USB001.002,PASS
USB keyboard detected in FW,USB002.001,PASS
USB keyboard in OS (Ubuntu),USB002.002,PASS
Upload 1GB file on USB storage (Ubuntu),USB003.001,PASS
USB devices detection after cold boot (Ubuntu),SUD0001.001,PASS
USB devices detection after warm boot (Ubuntu),SUD0002.001,PASS
